,0
1048,Category:Ginger beer
1049,Category:Indian spices
1050,Category:Pakistani spices
1051,Category:Saffron
1052,Category:Sri Lankan spices
1053,Category:Herb and spice stubs
1054,Category:Food plant hybrids
1055,Category:Plants used in Native American cuisine
1056,Category:Crops originating from indigenous Americans
1057,Category:Crops originating from Pre-Columbian North America
1058,Category:Crops originating from the United States
1059,Category:Edible nuts and seeds
1060,Category:Buckwheat
1061,Category:Castanea
1062,Category:Edible legumes
1063,Category:Peanuts
1064,Category:Peanut production
1065,Category:Soy products
1066,Category:Soybeans
1067,Category:Grains
1068,Category:Grain trade
1069,Category:Roman prefects of the Annonae
1070,Category:Grain ships
1071,Category:Grain production
1072,Category:Grain elevators
1073,Category:Grain elevators in Canada
1074,Category:Grain elevators in Alberta
1075,Category:Grain elevator museums in Alberta
1076,Category:Grain elevators in the United States
1077,Category:Grain elevators in Minnesota
1078,Category:Grain elevators in New York (state)
1079,Category:Grain elevators in Oklahoma
1080,Category:Granaries
1081,Category:Pseudocereals
1082,Category:Hazelnuts
1083,Category:Macadamia
1084,Category:Pecan
1085,Category:Poppy seeds
1086,Category:Sesame
1087,Category:Plant-based fermented foods
1088,Category:Vegetables
1089,Category:Asian vegetables
1090,Category:Asian radishes
1091,Category:Japanese vegetables
1092,Category:Korean vegetables
1093,Category:Korean vegetable dishes
1094,Category:Namul
1095,Category:Vietnamese vegetables
1096,Category:Inflorescence vegetables
1097,Category:Leaf vegetables
1098,Category:Cabbage
1099,Category:Lettuce
1100,Category:Miniature versions of vegetables
1101,Category:Perennial vegetables
1102,Category:Root vegetables
1103,Category:Onions
1104,Category:Radishes
1105,Category:Sweet potatoes
1106,Category:Taros
1107,Category:Yams (vegetable)
1108,Category:Yam production
1109,Category:Sprouting
1110,Category:Stem vegetables
1111,Category:Rhubarb
1112,Category:Vegetable stubs
1113,Category:Leavening agents
1114,Category:Baking powder
1115,Category:Mastic
1116,Category:Sauces
1117,Category:Sauces by origin
1118,Category:Belgian sauces
1119,Category:Chilean sauces
1120,Category:Chinese sauces
1121,Category:French sauces
1122,Category:Mother sauces
1123,Category:German sauces
1124,Category:Greek sauces
1125,Category:Italian sauces
1126,Category:Mexican sauces
1127,Category:Romanian sauces
1128,Category:Barbecue sauces
1129,Category:Brown sauces
1130,Category:Steak sauces
1131,Category:White sauces
1132,Category:Starch
1133,Category:Sugar
1134,Category:Coats of arms with sugarcane
1135,Category:Documentary films about sugar
1136,Category:Molasses
1137,Category:Sugar production
1138,Category:Sugar refineries
1139,Category:Sugar mills in Bangladesh
1140,Category:Sugar refineries in Denmark
1141,Category:Sugar refineries in Copenhagen
1142,Category:Sugar mills in Fiji
1143,Category:Sugar mills in Queensland
1144,Category:Sugar refineries in Taiwan
1145,Category:Food ingredient stubs
1146,Category:Seafood
1147,Category:Animal-based seafood
1148,Category:Edible shellfish
1149,Category:Edible crustaceans
1150,Category:Commercial crustaceans
1151,Category:Crab dishes
1152,Category:Crayfish dishes
1153,Category:Lobster dishes
1154,Category:Shrimp dishes
1155,Category:Edible molluscs
1156,Category:Clam dishes
1157,Category:Octopus dishes
1158,Category:Oyster dishes
1159,Category:Snail dishes
1160,Category:Squid dishes
1161,Category:Roe
1162,Category:Seafood dishes
1163,Category:Fish dishes
1164,Category:Anchovy dishes
1165,Category:Cod dishes
1166,Category:Fish and seafood soups
1167,Category:Fish salads
1168,Category:Raw fish salads
1169,Category:Fish stews
1170,Category:Herring dishes
1171,Category:Salmon dishes
1172,Category:Tuna dishes
1173,Category:Uncooked fish dishes
1174,Category:Fermented fish
1175,Category:Whale dishes
1176,Category:Seafood festivals
1177,Category:Oyster festivals
1178,Category:Seafood restaurants
1179,Category:Fast-food seafood restaurants
1180,Category:Fish and chip restaurants
1181,Category:Oyster bars
1182,Category:Sushi restaurants
1183,Category:Sushi restaurants in Japan
1184,Category:Sushi restaurants in the United Kingdom
1185,Category:Sushi restaurants in the United States
1186,Category:Seafood restaurants in the United States
1187,Category:Spreads (food)
1188,Category:Stuffed dishes
1189,Category:Toppings
1190,Category:Food stubs
1191,Category:Bread stubs
1192,Category:Condiment stubs
1193,Category:Fruit stubs
1194,Category:Rubus stubs
1195,Category:Soup stubs
1196,Category:Food stub templates
1197,Category:Dessert stub templates
1198,Category:Drink stub templates
1199,Category:Bartending stub templates
1200,Category:Beer stub templates
1201,Category:Coffee and tea stub templates
1202,Category:Mixed drinks stub templates
1203,Category:Soft drink stub templates
1204,Category:Spirits stub templates
1205,Category:Wine stub templates
1206,Category:Foodservice stub templates
1207,Category:Herbs and spices stub templates
